%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1660014322614518652,40559,1660014322614518652,imu,-0.001237,-0.002058,-0.07617,0.997091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00183224664874,-0.000441550847462,0.000883346041019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022069,-0.028374,9.770682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322619460031,40560,1660014322619460031,imu,-0.001239,-0.002059,-0.076167,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000618684313247,-0.000760038529366,0.000871530161983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026935,-0.035868,9.806333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322624389956,40561,1660014322624389956,imu,-0.001239,-0.002058,-0.076165,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00090600041471,0.000476666872012,0.000259286113676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029269,-0.033355,9.789659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322629518025,40562,1660014322629518025,imu,-0.001241,-0.002055,-0.076165,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00122000260044,0.00175142045108,-0.0021529508988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017326,-0.035667,9.789716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322634488598,40563,1660014322634488598,imu,-0.001241,-0.002055,-0.076165,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00120806454835,0.000164165669443,0.000254608631281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039008,-0.0096,9.796942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322639430955,40564,1660014322639430955,imu,-0.001239,-0.00205,-0.076159,0.997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000289585029491,0.00295231169621,0.00242050987313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024479,-0.042975,9.801522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322644547430,40565,1660014322644547430,imu,-0.001238,-0.002046,-0.076156,0.997093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00270789578776,-0.00294618559054,-0.000389749475263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012748,-0.023919,9.816054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322649500822,40566,1660014322649500822,imu,-0.001233,-0.002049,-0.076154,0.997093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012049229557,0.000173538087526,-0.000964416584775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01984,-0.028679,9.808822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322654455331,40567,1660014322654455331,imu,-0.001233,-0.002049,-0.076151,0.997093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00121626759584,0.00142452028219,-2.1921335405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046147,-0.021723,9.813476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660014322659390773,40568,1660014322659390773,imu,-0.001233,-0.00205,-0.076152,0.997093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014986793221,-0.00200903104868,-6.85739863109e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05544,-0.0455,9.794154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
